Name,ID,Gene,Value
PC 69,A,ABCC1,19.68920306
PC 69,A,ABCC3,18.97285059
PC 69,A,AKT1,17.71160434
PC 69,A,ALDH1A1,16.19460202
PC 69,A,ALDH3A1,17.26356103
PC 69,A,ANGPTL4,22.86478921
PC 69,A,CASP8,17.74986476
PC 69,A,CCND1,18.78958584
PC 69,A,CD274,22.1904925
PC 69,A,CD34,17.58259547
PC 69,A,CD44,16.07074587
PC 69,A,CDH1,18.26172052
PC 69,A,CDH2,22.31262153
PC 69,A,CDH5,18.43268208
PC 69,A,CDKN1A,17.0723466
PC 69,A,CDKN3,18.82785784
PC 69,A,CEACAM6,16.49837764
PC 69,A,DNMT1,17.82328058
PC 69,A,EGFR,20.15134968
PC 69,A,ERCC1,18.13176097
PC 69,A,FAP,20.60576704
PC 69,A,FGF13,19.39167377
PC 69,A,FGF2,19.82324286
PC 69,A,FGFR2,17.65637867
PC 69,A,HMOX2,16.60122047
PC 69,A,IGF1R,19.33436873
PC 69,A,IL17A,17.80343089
PC 69,A,IL18,16.93734654
PC 69,A,IL6,21.45116681
PC 69,A,KAT6A,16.38285949
PC 69,A,KRAS,15.91996304
PC 69,A,LATS2,19.98986297
PC 69,A,LEF1,18.7004245
PC 69,A,MDM2,18.09697315
PC 69,A,MLH1,19.0570812
PC 69,A,MMP1,15.86652755
PC 69,A,MUC1,14.64557082
PC 69,A,MYC,19.01876334
PC 69,A,NFE2L3,16.88184542
PC 69,A,OCLN,18.08330657
PC 69,A,PARP1,18.4733867
PC 69,A,PCNA,18.4206161
PC 69,A,PECAM1,16.39415542
PC 69,A,E,17.32971626
PC 69,A,D,19.50044711
PC 69,A,C,13.57552276
PC 69,A,B,11.13655061
PC 69,A,A,13.35773792
PC 69,A,PI3,18.9680378
PC 69,A,S100P,14.78518927
PC 69,A,RB1,18.26979658
PC 69,A,PTEN,15.09297626
PC 69,A,G,16.7652193
PC 69,A,F,11.49332886
PC 69,A,STAT5A,18.71046706
PC 69,A,STAT3,16.78504833
PC 69,A,STAT1,15.76268313
PC 69,A,SOX7,22.85623596
PC 69,A,SNAI1,17.38143563
PC 69,A,SMYD2,18.85054394
PC 69,A,WNT5A,20.39125591
PC 69,A,VEGFA,17.49211243
PC 69,A,TWIST1,22.64441876
PC 69,A,TOP1,17.17386076
PC 69,A,TGFB1,16.96888696
PC 69,A,FASLG,18.56131005
PC 69,A,FAS,18.7447148
PC 69,A,CD40,15.40758309
PC 69,A,HTRA2,20.56172376
PC 69,A,HIF1A,16.62976878
PC 69,A,HES1,19.05104586
PC 69,A,GSTP1,13.25975267
PC 69,A,GSTM1,17.50814978
PC 69,A,BAX,18.58061517
PC 69,A,NOTCH1,22.13341452
PC 69,A,TP53,17.9311023
PC 69,A,SOD2,15.3699955
PC 69,A,SNAI2,16.35685529
PC 69,A,SLPI,15.31624173
PC 69,A,RIPK3,19.65975523
592,A,ABCB,13.9913274
592,A,ABCC1,21.65723716
592,A,ABCC3,19.58939273
592,A,AKT1,19.7150437
592,A,ALDH1A1,16.22715674
592,A,ALDH3A1,15.8715626
592,A,ANGPTL4,21.68456514
592,A,CASP8,16.64287219
592,A,CCND1,20.70005367
592,A,CD274,20.59332713
592,A,CD34,20.64574223
592,A,CD44,17.93885312
592,A,CDH1,18.50575424
592,A,CDH2,22.30262485
592,A,CDH5,18.46162573
592,A,CDKN1A,16.13206342
592,A,CDKN3,17.43818944
592,A,CEACAM6,15.61893388
592,A,EGFR,17.71338467
592,A,ERCC1,18.81863193
592,A,FAP,23.37553973
592,A,FGF13,21.51043994
592,A,FGF2,22.35464393
592,A,FGFR2,20.09921083
592,A,HMOX2,16.27951384
592,A,IGF1R,20.10602344
